station,province,rows,status,lat,lon,n_neighbors,neighbor_spread_km,rail_dist_km
Burdette,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Carseland,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Castor,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Cluny,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Hayter,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Kirkcaldy,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Lougheed,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Macleod,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Magrath,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Monarch,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
New Dayton,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Nobleford,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Nemiscan,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Pincher,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Purple Springs,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Staveley,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Strome,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Taber,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Warner,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Winnifred,MANITOBA,3,interpolated,49.658611,-99.862778,7382,92.7,
Brisbane,SASKATCHEWAN,3,interpolated,51.581741,-106.213034,5221,172.2,
Spruce Grove Centre,ALBERTA,3,interpolated,52.583889,-112.300833,1500,125.9,
Bangor,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Bechard,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Bradwell,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Cedoux,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Colfax,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Cudworth,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Darmody,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Estlin,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Gerald,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Landis,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Lawson,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Melville,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Raymore,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Regina-Gilroy Br,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Springwater,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Spy Hill,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Tate,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Venn,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Wakow,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Waldron,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Zelma,ALBERTA,3,interpolated,52.834167,-112.951111,509,113.4,
Gretna West,MANITOBA,3,interpolated,49.424444,-98.014444,318,80.8,
Pancras,ALBERTA,3,interpolated,50.88,-112.866667,14055,155.7,
Eli,MANITOBA,3,interpolated,50.145,-99.683889,2225,108.6,
Atalia,SASKATCHEWAN,3,interpolated,50.466303,-105.717983,26694,182.1,
Bronclacres,SASKATCHEWAN,3,interpolated,50.466303,-105.717983,26694,182.1,
Habart,SASKATCHEWAN,3,interpolated,50.466303,-105.717983,26694,182.1,
Kandianar,SASKATCHEWAN,3,interpolated,50.466303,-105.717983,26694,182.1,
Whitehead,SASKATCHEWAN,3,interpolated,50.466303,-105.717983,26694,182.1,
Holbeck,SASKATCHEWAN,3,interpolated,51.581741,-106.213034,5221,172.2,
Steelesbrook,SASKATCHEWAN,3,interpolated,51.581741,-106.213034,5221,172.2,
Collins,SASKATCHEWAN,3,interpolated,51.298542,-105.047323,2147,152.0,
Bascanne,ALBERTA,3,interpolated,50.88,-112.866667,14055,155.7,
Edgerton,MANITOBA,3,interpolated,49.998889,-99.971944,208,55.4,
Grainger,MANITOBA,3,interpolated,49.998889,-99.971944,208,55.4,
Heath,MANITOBA,3,interpolated,49.998889,-99.971944,208,55.4,
Huxley,MANITOBA,3,interpolated,49.998889,-99.971944,208,55.4,
Three Hills,MANITOBA,3,interpolated,49.998889,-99.971944,208,55.4,
Trochu,MANITOBA,3,interpolated,49.998889,-99.971944,208,55.4,
Maimi,MANITOBA,3,interpolated,50.145,-99.683889,2225,108.6,
rtler,SASKATCHEWAN,3,interpolated,50.466303,-105.717983,26694,182.1,
Kootuk,ALBERTA,3,interpolated,50.88,-112.866667,14055,155.7,
Shainrock,SASKATCHEWAN,3,interpolated,50.466303,-105.717983,26694,182.1,
Calverley,ALBERTA,3,interpolated,50.88,-112.866667,14055,155.7,
Alcock,ALBERTA,3,interpolated,52.834167,-112.572222,6568,125.6,
"St. John, N.B",QUEBEC,3,too_few_neighbors,,,0,,
Tichfield (See Lyons),SASKATCHEWAN,3,interpolated,51.616727,-105.809146,17381,184.7,
Mileage 10.3,ALBERTA,3,interpolated,52.834167,-112.572222,6568,125.6,
Mileage 4.4,ALBERTA,3,interpolated,52.834167,-112.572222,6568,125.6,
Mile 102-2,SASKATCHEWAN,3,interpolated,51.616727,-105.809146,17381,184.7,
Donovan(Birdview),SASKATCHEWAN,3,interpolated,51.616727,-105.809146,17381,184.7,
Arden,,2,no_province_bbox,,,0,,
Arnaud,,2,no_province_bbox,,,0,,
Arrow River,,2,no_province_bbox,,,0,,
ofd,,2,no_province_bbox,,,0,,
ale,,2,no_province_bbox,,,0,,
Mill,,2,no_province_bbox,,,0,,
Chater,,2,no_province_bbox,,,0,,
Clearwater,,2,no_province_bbox,,,0,,
Deleau,,2,no_province_bbox,,,0,,
Edrans,,2,no_province_bbox,,,0,,
Fannystelle,,2,no_province_bbox,,,0,,
Harrowby,,2,no_province_bbox,,,0,,
Holmfield,,2,no_province_bbox,,,0,,
Kelloe,,2,no_province_bbox,,,0,,
Keyes,,2,no_province_bbox,,,0,,
Methven,,2,no_province_bbox,,,0,,
Mowbray,,2,no_province_bbox,,,0,,
Naples,,2,no_province_bbox,,,0,,
Nesbitt,,2,no_province_bbox,,,0,,
Sidney,,2,no_province_bbox,,,0,,
Sinclair,,2,no_province_bbox,,,0,,
Starbuck,,2,no_province_bbox,,,0,,
Stockton,,2,no_province_bbox,,,0,,
Reinzi,SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Elliots,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Lovatt,SASKATCHEWAN,2,interpolated,51.581741,-106.213034,5221,172.2,
Sternaway,SASKATCHEWAN,2,interpolated,51.581741,-106.213034,5221,172.2,
Stevens,SASKATCHEWAN,2,interpolated,51.581741,-106.213034,5221,172.2,
Willis,SASKATCHEWAN,2,interpolated,51.581741,-106.213034,5221,172.2,
Keevatin,ALBERTA,2,interpolated,52.834167,-112.951111,509,113.4,
Kenora,ALBERTA,2,interpolated,52.834167,-112.951111,509,113.4,
Engen Sdg,SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Keddestone,SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Lickford,SASKATCHEWAN,2,interpolated,51.581741,-106.213034,5221,172.2,
Pleasant Valley,SASKATCHEWAN,2,interpolated,51.581741,-106.213034,5221,172.2,
1st Siding South of Melfort,SASKATCHEWAN,2,interpolated,51.581741,-106.213034,5221,172.2,
Vancouver,MANITOBA,2,interpolated,49.424444,-98.014444,318,80.8,
Coblentz,SASKATCHEWAN,2,interpolated,51.298542,-105.047323,2147,152.0,
Station. 1,QUEBEC,2,interpolated,45.508822,-73.554077,9,0.0,
Siding M. 202,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Una,MANITOBA,2,interpolated,49.998889,-99.971944,208,55.4,
Carolside,SASKATCHEWAN,2,interpolated,51.581741,-106.213034,5221,172.2,
North Transcona,ONTARIO,2,interpolated,48.354336,-89.262676,322,8.8,
Transcona,ONTARIO,2,interpolated,48.354336,-89.262676,322,8.8,
St. Boniface,ONTARIO,2,interpolated,48.354336,-89.262676,322,8.8,
Titian,ONTARIO,2,interpolated,48.354336,-89.262676,322,8.8,
McLean (Deepdale),MANITOBA,2,interpolated,50.236667,-99.730833,3772,114.8,
Deveroux,SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Mechoché,ALBERTA,2,interpolated,52.834167,-112.572222,6568,125.6,
Battle River,SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Bellwood,SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Pultenay Sdg,ALBERTA,2,interpolated,50.88,-112.866667,14055,155.7,
Dodson,ALBERTA,2,interpolated,52.834167,-112.572222,6568,125.6,
Pultenay Siding,ALBERTA,2,interpolated,50.88,-112.866667,14055,155.7,
"West St. John, N.B.,",QUEBEC,2,interpolated,45.508822,-73.554077,9,0.0,
St. Boniface Mfg. E,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
E.S,MANITOBA,2,interpolated,50.236667,-99.730833,3772,114.8,
Sonnenfeld,SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Alliance Sub. (Siding 4-4),ALBERTA,2,interpolated,52.834167,-112.572222,6568,125.6,
"West St. John, N.B. X",QUEBEC,2,interpolated,45.508822,-73.554077,9,0.0,
Mfg. E,SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Mazetta,ALBERTA,2,interpolated,50.88,-112.866667,14055,155.7,
Dipples,MANITOBA,2,interpolated,50.236667,-99.730833,3772,114.8,
Hanson..... (Bagley),SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Mile 46 Aberdeen-Melfort Branch,SASKATCHEWAN,2,interpolated,51.616727,-105.809146,17381,184.7,
Hart Siding,ALBERTA,2,interpolated,52.834167,-112.572222,6568,125.6,
Heenan,ALBERTA,2,interpolated,52.834167,-112.572222,6568,125.6,
Langley,ALBERTA,2,interpolated,52.834167,-112.572222,6568,125.6,
"West Saint John, N.B",ONTARIO,2,interpolated,48.354336,-89.262676,322,8.8,
Adair,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Aikens,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Aiktow,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Alida,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Buttress,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Bromhead,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Cheviot,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Cloan,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Cardell,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Dunelm,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Esk,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Ermine,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Floral,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Freemantle,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Frys,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Gibbs,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Glasnevin,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Horizon,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Hume,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Insinger,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Kaiser,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Keddlestone,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Kincorth,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Kinley,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Marchwell,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Nottingham,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Oakshella,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Percival,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Pilot Butte,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Pinkie,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Renown,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Roche Percee,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Rokeby,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Steppes,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Swinbourne,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Tuffnell,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Uren,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Valjean,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Walpole,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Wolfe,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Westerham,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Zenith,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Angusville,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Argue,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Ashville,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Berton,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Brunkild,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Durban,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Eden,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Endcliffe,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Ethelbert,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Giroux,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Glenella,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Hilton,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Isabella,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Kelwood,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Kenville,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Lavinia,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Makinak,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Marieapolis,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Moline,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Myrtle,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Ninette,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Oakburn,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Oakville,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Ogilvie,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Pumas,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Rosebank,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
St. Jean,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Sandy Lake,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Warren,BRITISH COLUMBIA,2,interpolated,49.183333,-122.55,37,74.8,
Oxen,ALBERTA,2,interpolated,52.583889,-112.300833,1500,125.9,
Forgray,SASKATCHEWAN,2,interpolated,51.298542,-105.047323,2147,152.0,
Fee,SASKATCHEWAN,2,interpolated,51.298542,-105.047323,2147,152.0,
Keewatan,BRITISH COLUMBIA,2,interpolated,49.261111,-123.113889,10,0.0,
Kenora,BRITISH COLUMBIA,2,interpolated,49.261111,-123.113889,10,0.0,
Keddlestone,SASKATCHEWAN,2,interpolated,50.466303,-105.717983,26694,182.1,
Alaska,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Anerley,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Arran,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Baldon,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Beadle,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Bratton,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Brooking,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Bruno,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Candiac,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Chamberlain,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Colgate,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
D'Arcy,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Disley,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Doonside,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Edam,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Ettington,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Fairmount,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Fielding,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Flaxcombe,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Forgan,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Hague,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Hepburn,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Indi,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Kendal,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Leask,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Marcelin,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Marengo,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Maymont,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Mikado,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Mitchelton,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Moreland,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
McGee,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Naisberry,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Norquay,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Osler,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Parkside,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Pathlow,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Panyton,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Pinkham,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Quill Lake,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Rhein,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Richard,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Ridpath,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
St. Gregor,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Stenen,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Stornoway,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Tilney,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Truax,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Vawn,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Vibank,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Willmar,MANITOBA,2,interpolated,50.145,-99.683889,2225,108.6,
Rosebud Creek,ALBERTA,2,interpolated,52.583889,-112.300833,1500,125.9,
Bashaw,SASKATCHEWAN,2,interpolated,51.298542,-105.047323,2147,152.0,
Bruce,SASKATCHEWAN,2,interpolated,51.298542,-105.047323,2147,152.0,
Chauvin,SASKATCHEWAN,2,interpolated,51.298542,-105.047323,2147,152.0,
Edgerton,SASKATCHEWAN,2,interpolated,51.298542,-105.047323,2147,152.0,
Swalwell,SASKATCHEWAN,2,interpolated,51.298542,-105.047323,2147,152.0,
Three Hills,SASKATCHEWAN,2,interpolated,51.298542,-105.047323,2147,152.0,
North Transcona,BRITISH COLUMBIA,2,interpolated,49.261111,-123.113889,10,0.0,
Stations. 4,ONTARIO,2,interpolated,48.354336,-89.262676,322,8.8,
"Alida,",MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Consul,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Gouverneur,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Instow,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Keddleston,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Sidewood,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Tantallon,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
Torquay,MANITOBA,2,interpolated,49.658611,-99.862778,7382,92.7,
